pid	situscity	situszip
1	APOPKA	32712
2	APOPKA	32712
3	APOPKA	32712
4	APOPKA	32712
5	APOPKA	32712
6	APOPKA	32712
7	APOPKA	32712
8	MOUNT DORA	32757
9	MOUNT DORA	32757
10	MOUNT DORA	32757
11	MOUNT DORA	32757
12	MOUNT DORA	32757
13	MOUNT DORA	32757
14	MOUNT DORA	32757
15	MOUNT DORA	32757
16	APOPKA	32712
17	APOPKA	32712
18	APOPKA	32712
19	APOPKA	32712
20	APOPKA	32712
21	MOUNT DORA	32757
22	MOUNT DORA	32757
23	MOUNT DORA	32757
24	MOUNT DORA	32757
25	MOUNT DORA	32757
26	MOUNT DORA	32757
27	MOUNT DORA	32757
28	MOUNT DORA	32757
29	MOUNT DORA	32757
30	MOUNT DORA	32757
31	MOUNT DORA	32757
32	MOUNT DORA	32757
33	MOUNT DORA	32757
34	MOUNT DORA	32757
35	MOUNT DORA	32757
36	MOUNT DORA	32757
37	MOUNT DORA	32757
38	MOUNT DORA	32757
39	MOUNT DORA	32757
40	MOUNT DORA	32757
41	MOUNT DORA	32757
42	MOUNT DORA	32757
43	MOUNT DORA	32757
44	MOUNT DORA	32757
45	MOUNT DORA	32757
46	MOUNT DORA	32757
47	MOUNT DORA	32757
48	MOUNT DORA	32757
49	MOUNT DORA	32757
50	MOUNT DORA	32757
51	MOUNT DORA	32757
52	MOUNT DORA	32757
53	MOUNT DORA	32757
54	MOUNT DORA	32757
55	MOUNT DORA	32757
56	MOUNT DORA	32757
57	MOUNT DORA	32757
58	MOUNT DORA	32757
59	MOUNT DORA	32757
60	MOUNT DORA	32757
61	MOUNT DORA	32757
62	MOUNT DORA	32757
63	MOUNT DORA	32757
64	MOUNT DORA	32757
65	MOUNT DORA	32757
66	MOUNT DORA	32757
67	MOUNT DORA	32757
68	MOUNT DORA	32757
69	MOUNT DORA	32757
70	MOUNT DORA	32757
71	MOUNT DORA	32757
72	MOUNT DORA	32757
73	MOUNT DORA	32757
74	MOUNT DORA	32757
75	MOUNT DORA	32757
76	MOUNT DORA	32757
77	MOUNT DORA	32757
78	MOUNT DORA	32757
79	MOUNT DORA	32757
80	MOUNT DORA	32757
81	MOUNT DORA	32757
82	MOUNT DORA	32757
83	MOUNT DORA	32757
84	MOUNT DORA	32757
85	MOUNT DORA	32757
86	MOUNT DORA	32757
87	MOUNT DORA	32757
88	MOUNT DORA	32757
89	MOUNT DORA	32757
90	MOUNT DORA	32757
91	MOUNT DORA	32757
92	MOUNT DORA	32757
93	MOUNT DORA	32757
94	MOUNT DORA	32757
95	MOUNT DORA	32757
96	MOUNT DORA	32757
97	MOUNT DORA	32757
98	MOUNT DORA	32757
99	MOUNT DORA	32757
100	MOUNT DORA	32757
101	MOUNT DORA	32757
102	MOUNT DORA	32757
103	MOUNT DORA	32757
104	MOUNT DORA	32757
105	MOUNT DORA	32757
106	MOUNT DORA	32757
107	MOUNT DORA	32757
108	MOUNT DORA	32757
109	MOUNT DORA	32757
110	MOUNT DORA	32757
111	MOUNT DORA	32757
112	MOUNT DORA	32757
113	MOUNT DORA	32757
114	MOUNT DORA	32757
115	MOUNT DORA	32757
116	MOUNT DORA	32757
117	MOUNT DORA	32757
118	MOUNT DORA	32757
119	MOUNT DORA	32757
120	MOUNT DORA	32757
121	MOUNT DORA	32757
122	MOUNT DORA	32757
123	MOUNT DORA	32757
124	MOUNT DORA	32757
125	MOUNT DORA	32757
126	MOUNT DORA	32757
127	MOUNT DORA	32757
128	MOUNT DORA	32757
129	MOUNT DORA	32757
130	MOUNT DORA	32757
131	MOUNT DORA	32757
132	MOUNT DORA	32757
133	MOUNT DORA	32757
134	MOUNT DORA	32757
135	MOUNT DORA	32757
136	MOUNT DORA	32757
137	MOUNT DORA	32757
138	MOUNT DORA	32757
139	MOUNT DORA	32757
140	MOUNT DORA	32757
141	MOUNT DORA	32757
142	MOUNT DORA	32757
143	MOUNT DORA	32757
144	MOUNT DORA	32757
145	MOUNT DORA	32757
146	MOUNT DORA	32757
147	MOUNT DORA	32757
148	MOUNT DORA	32757
149	MOUNT DORA	32757
150	MOUNT DORA	32757
151	MOUNT DORA	32757
152	MOUNT DORA	32757
153	MOUNT DORA	32757
154	MOUNT DORA	32757
155	MOUNT DORA	32757
156	MOUNT DORA	32757
157	MOUNT DORA	32757
158	MOUNT DORA	32757
159	MOUNT DORA	32757
160	MOUNT DORA	32757
161	MOUNT DORA	32757
162	MOUNT DORA	32757
163	MOUNT DORA	32757
164	MOUNT DORA	32757
165	MOUNT DORA	32757
166	MOUNT DORA	32757
167	MOUNT DORA	32757
168	MOUNT DORA	32757
169	MOUNT DORA	32757
170	MOUNT DORA	32757
