pid	saledatelatest	salepricelatest
1	20111212	156000
2	19931022	111900
3	20031222	240000
4	20160912	187900
5	19981022	95100
6	20000417	360000
7	19961021	92000
8	20151125	400000
9	19840601	21000
10	20130315	225000
11	20000522	182900
12	20090626	218000
13	19930201	40000
14	19880901	47500
15	19970414	59000
16	19791101	19100
17	20100714	40000
18	19780301	45000
19	19971215	110000
20	19870501	79900
21	19720601	20000
22	20170726	539782
23	20090702	143000
24	20150617	164000
25	20110923	115900
26	20120622	125000
27	20100319	125000
28	20120827	146500
29	20080731	217000
30	20181009	178200
31	20150715	169900
32	20080523	200000
33	20080620	205000
34	20080430	204000
35	20110720	121500
36	20110511	116000
37	20130709	102100
38	20080221	219500
39	20151106	164900
40	20100414	149000
41	20120611	165000
42	20161107	219000
43	20120427	135000
44	20180629	241000
45	20120224	150000
46	20120531	150000
47	20160630	188000
48	20111130	170200
49	20111219	151000
50	20120511	155900
51	20120430	159300
52	20120405	160000
53	20140805	172000
54	20120828	149000
55	20160624	216000
56	20110331	149000
57	20160706	189900
58	20160121	215000
59	20100630	154000
60	20140620	180000
61	20181005	245000
62	20101116	139000
63	20160614	198000
64	20101124	190000
65	20110930	155000
66	20160204	215000
67	20110318	146000
68	20110823	157000
69	20140912	180000
70	20141125	179000
71	20170727	250000
72	20160125	226800
73	20140916	216000
74	20160129	190000
75	20160426	207000
76	20150506	220000
77	20141126	200000
78	20141124	199000
79	20141125	177400
80	20150130	219200
81	20130930	177000
82	20071120	225000
83	20080206	220000
84	20171117	279900
85	20160111	225000
86	20141126	185000
87	20150226	174400
88	20160511	216500
89	20150527	214000
90	20150528	50000
91	20150527	206000
92	20150521	200000
93	20160826	245000
94	20161019	216000
95	20150819	240000
96	20151111	196000
97	20170322	54400
98	20151123	198000
99	20151030	178400
100	20151102	220000
101	20151116	225000
102	20151117	202000
103	20151118	198800
104	20151117	199300
105	20151112	181000
106	20151104	208400
107	20151112	198600
108	20151103	197000
109	20151120	200000
110	20171016	278500
111	20151120	198500
112	20151029	191000
113	20151031	193000
114	20151026	194000
115	20160831	200000
116	20150925	198300
117	20170327	230000
118	20180622	286000
119	20151028	224200
120	20151009	214000
121	20150615	205600
122	20100528	135000
123	20151111	206000
124	20070226	258000
125	20070820	252000
126	20130212	179500
127	20160630	195000
128	20170201	215000
129	20131231	81400
130	20080822	206000
131	20091230	135000
132	20091218	160000
133	20170728	215000
134	20161201	179000
135	20080716	220500
136	20070427	265000
137	20110317	130000
138	20170204	225500
139	20120831	193000
140	20121228	154700
141	20130328	183700
142	20130228	156700
143	20100226	163000
144	20180801	208500
145	20070608	221000
146	20121130	170300
147	20170331	209000
148	20121130	159000
149	20130329	182900
150	20130131	185000
151	20181030	240200
152	20130306	156000
153	20141010	168500
154	20170313	208000
155	20160401	160000
156	20170508	250000
157	20120928	158000
158	20121016	183000
159	20180401	275000
160	20141120	212000
161	20150521	285900
162	20160324	196500
163	20090126	248000
164	20081024	259000
165	20180130	275000
166	20081024	246000
167	20090128	235000
168	20150227	104400
169	20081030	264000
170	20091026	221000
171	20091228	211000
172	20100630	228000
173	20161209	240600
174	20100625	203000
175	20100420	210000
176	20100907	211000
177	20100712	205000
178	20100819	231000
179	20090313	235000
180	20100630	213000
181	20100827	208000
182	20170320	247000
183	20140328	230000
184	20161107	227500
185	20150828	266000
186	20110525	217000
187	20110531	192000
188	20160422	63100
189	20170714	250000
190	20111021	226800
191	20120224	240000
192	20111117	218000
193	20111129	179900
194	20111129	195000
195	20111031	228000
196	20120131	204000
197	20111128	205000
198	20180525	289900
199	20180404	245000
200	20120830	200300
201	20121116	191000
202	20120531	200500
203	20180601	281000
204	20171030	273000
205	20111031	253500
206	20171011	272000
207	20181005	371000
208	20120730	225000
209	20181108	305000
210	20121212	245000
211	20120924	218400
212	20170131	312500
213	20120716	265000
214	20120330	219800
215	20120801	238800
216	20181030	309000
217	20160429	305000
218	20121031	199000
219	20181008	290000
220	20121029	210000
221	20150921	280000
222	20180810	285000
223	20151215	99800
224	20130219	178400
225	20130215	261900
226	20130528	200000
227	20130215	213600
228	20130510	209000
229	20130115	225700
230	20121231	180400
231	20150901	230000
232	20160907	219500
233	20161014	239000
234	20151124	215000
235	20130531	222000
236	20130204	260000
237	20140925	235000
238	20141019	235900
239	20141128	255000
240	20150225	244000
241	20141126	237000
242	20161107	310000
243	20150130	239000
244	20141114	275000
245	20141128	246900
246	20150529	345500
247	20160721	242000
248	20170722	240000
249	20150424	339600
250	20180619	260500
251	20141124	231500
252	20140916	235000
253	20140908	236500
254	20151222	225000
255	20130426	208000
256	20160108	284000
257	20130328	212000
258	20130510	229900
259	20130830	230000
260	20130607	225000
261	20140929	230000
262	20141128	240000
263	20110124	192000
264	20120830	178000
265	20110428	212500
266	20121102	199000
267	20100916	225000
268	20100429	181000
269	20090615	230000
270	20100318	185000
271	20100524	217000
272	20161114	280000
273	20170201	322100
274	20170414	298500
275	20170217	277000
276	20170414	291000
277	20170410	339600
278	20170414	278300
279	20170829	359100
280	20170711	298800
281	20171102	336700
282	20170831	339000
283	20170512	296000
284	20171127	342700
285	20170711	340400
286	20170505	354900
287	20170629	337800
288	20170609	293500
289	20171117	364500
290	20170410	292600
291	20170410	304400
292	20161117	287500
293	20161117	349500
294	20170127	369500
295	20170410	287500
296	20170124	350200
297	20170608	295000
298	20170512	333400
299	20160714	296500
300	20161026	277400
301	20170201	298900
302	20161220	357900
303	20160520	332000
304	20160803	341000
305	20160729	342700
306	20180221	320000
307	20160916	268500
308	20161027	312000
309	20161012	334600
310	20170210	328500
311	20161117	285900
312	20180730	310000
313	20160401	271600
314	19910422	9700
315	19660601	700
316	19950501	30000
317	20030425	6000
318	20160211	14000
319	20060928	281000
320	20160429	242000
321	20060713	274000
322	20070926	197500
323	20080625	285000
324	20180227	269000
325	20090731	130000
326	20180402	164000
327	20170113	216500
328	20130312	125000
329	20130911	179900
330	20060619	370000
331	20140305	195000
332	20170120	215000
333	20170607	265000
334	20140210	178000
335	20171228	209000
336	20130509	142200
337	20060616	401000
338	20180828	243900
339	20060330	328700
340	20160126	230000
341	20060531	386500
342	20140917	146000
343	20170131	219000
344	20060519	357000
345	20100427	132000
346	20060531	388800
347	20060929	418500
348	20140506	140000
349	20060330	370000
350	20120224	125000
351	20100325	125000
352	20070925	226000
353	20111227	126500
354	20170905	270000
355	20151023	192000
356	20110913	159000
357	20060831	331900
358	20060427	277000
359	20180125	230000
360	20160725	184800
361	20110630	135000
362	20140625	196000
363	20060510	270000
364	20060525	357800
365	20060425	274700
366	20170815	263000
367	20060602	394000
368	20100629	247000
369	20060530	452000
370	20111027	197100
371	20110715	228000
372	20060825	587000
373	20061026	505000
374	20151230	271000
375	20120529	258000
376	20180815	399900
377	20060530	524000
378	20060825	483000
379	20060615	489000
380	20070326	436800
381	20061103	616200
382	20070529	315000
383	20061219	529000
384	20180917	400000
385	20060824	503000
386	20110805	208000
387	20080118	390000
388	20061115	555000
389	20170829	330000
390	20180730	339000
391	20101029	245000
392	20091010	270000
393	20110628	265000
394	20090810	260000
395	20060724	502000
396	20070404	480000
397	20140814	300000
398	20160125	265000
399	20131004	110000
400	20061031	575000
401	20140929	223700
402	20101130	297000
403	20100816	260000
404	20081024	290000
